Column,Count,Mean,Std,Min,25%,50% (Median),75%,Max,Range,Missing_Values,Missing_Percentage
GAS,291216.0,12104.06,5489.56,22.0,7599.0,12156.0,16381.0,27868.0,27846.0,0,0.0
COAL,291216.0,5680.07,6549.56,0.0,229.0,2172.0,10837.0,26044.0,26044.0,0,0.0
NUCLEAR,291216.0,6361.51,1473.41,2065.0,5146.0,6527.0,7601.0,9342.0,7277.0,0,0.0
WIND,291216.0,3870.65,3657.71,0.0,962.0,2672.0,5630.0,17406.0,17406.0,0,0.0
WIND_EMB,291216.0,1036.36,954.38,0.0,284.0,769.0,1528.25,5947.0,5947.0,0,0.0
HYDRO,291216.0,392.53,245.31,0.0,187.0,360.0,559.0,1403.0,1403.0,0,0.0
IMPORTS,291216.0,2475.05,1633.36,0.0,1382.0,2435.0,3106.0,9148.0,9148.0,0,0.0
BIOMASS,291216.0,902.13,1077.07,0.0,0.0,0.0,1902.0,3328.0,3328.0,0,0.0
OTHER,291216.0,461.04,592.85,0.0,44.0,171.0,714.0,3036.0,3036.0,0,0.0
SOLAR,291216.0,927.73,1881.63,0.0,0.0,0.0,868.0,14035.0,14035.0,0,0.0
STORAGE,291216.0,274.96,359.55,0.0,0.0,144.0,414.0,2660.0,2660.0,0,0.0
GENERATION,291216.0,34486.09,7187.9,16620.0,28899.0,34202.0,39526.0,59577.0,42957.0,0,0.0
CARBON_INTENSITY,291216.0,295.55,148.56,11.0,175.0,263.0,435.0,644.0,633.0,0,0.0
LOW_CARBON,291216.0,13765.87,5098.27,4626.0,9739.0,12600.0,16968.0,36254.0,31628.0,0,0.0
ZERO_CARBON,291216.0,10899.65,3292.01,3451.0,8574.0,10148.0,12729.0,25215.0,21764.0,0,0.0
RENEWABLE,291216.0,6502.24,5153.18,21.0,2288.0,5183.0,9515.0,30030.0,30009.0,0,0.0
FOSSIL,291216.0,17784.13,9230.81,22.0,10716.0,16857.0,23981.25,49096.0,49074.0,0,0.0
GAS_perc,291216.0,34.54,13.21,0.1,24.4,35.5,44.9,72.8,72.7,0,0.0
COAL_perc,291216.0,15.06,16.3,0.0,0.7,6.2,30.5,60.6,60.6,0,0.0
NUCLEAR_perc,291216.0,19.07,5.47,4.9,15.1,18.4,22.3,42.3,37.4,0,0.0
WIND_perc,291216.0,11.83,11.42,0.0,2.8,8.0,17.3,55.6,55.6,0,0.0
WIND_EMB_perc,291216.0,3.17,2.94,0.0,0.8,2.3,4.7,19.3,19.3,0,0.0
HYDRO_perc,291216.0,1.12,0.65,0.0,0.6,1.0,1.6,4.4,4.4,0,0.0
IMPORTS_perc,291216.0,7.66,5.45,0.0,3.9,7.0,10.3,36.5,36.5,0,0.0
BIOMASS_perc,291216.0,2.82,3.4,0.0,0.0,0.0,5.8,16.0,16.0,0,0.0
OTHER_perc,291216.0,1.38,1.8,0.0,0.1,0.6,1.9,10.3,10.3,0,0.0
SOLAR_perc,291216.0,2.64,5.46,0.0,0.0,0.0,2.4,42.8,42.8,0,0.0
STORAGE_perc,291216.0,0.71,0.89,0.0,0.0,0.4,1.1,7.9,7.9,0,0.0
GENERATION_perc,291216.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0.0
LOW_CARBON_perc,291216.0,41.36,16.38,11.9,28.2,38.5,52.2,94.9,83.0,0,0.0
ZERO_CARBON_perc,291216.0,38.9,15.69,11.9,26.9,35.1,47.6,94.1,82.2,0,0.0
RENEWABLE_perc,291216.0,19.47,15.54,0.1,6.6,15.4,28.6,78.6,78.5,0,0.0
FOSSIL_perc,291216.0,49.6,19.35,0.1,35.8,51.0,65.2,88.0,87.9,0,0.0
