Column,Count,Mean,Std,Min,25%,50% (Median),75%,Max,Range,Missing_Values,Missing_Percentage
North Scotland,118318.0,69.29,92.25,0.0,0.0,16.0,123.0,383.0,383.0,1311,1.1
South Scotland,118318.0,37.37,37.77,0.0,11.0,23.0,51.0,245.0,245.0,1311,1.1
North West England,118318.0,64.08,46.59,0.0,27.0,54.0,92.0,289.0,289.0,1311,1.1
North East England,118318.0,38.85,40.4,0.0,13.0,24.0,47.0,271.0,271.0,1311,1.1
Yorkshire,118318.0,208.18,81.1,0.0,143.0,216.0,269.0,491.0,491.0,1311,1.1
North Wales and Merseyside,118318.0,138.4,105.62,0.0,52.0,116.0,202.0,717.0,717.0,1311,1.1
South Wales,118318.0,302.06,96.96,0.0,253.0,338.0,371.0,748.0,748.0,1311,1.1
West Midlands,118318.0,169.03,101.77,-13.0,77.0,164.0,249.0,554.0,567.0,1311,1.1
East Midlands,118318.0,284.88,117.59,2.0,196.0,291.0,362.0,774.0,772.0,1311,1.1
East England,118318.0,147.81,78.73,0.0,85.0,142.0,206.0,402.0,402.0,1311,1.1
South West England,118318.0,200.37,106.84,0.0,113.0,195.0,287.0,430.0,430.0,1311,1.1
South England,118318.0,233.72,83.28,3.0,170.0,238.0,299.0,459.0,456.0,1311,1.1
London,118318.0,173.97,82.57,-8.0,108.0,173.0,235.0,604.0,612.0,1311,1.1
South East England,118318.0,186.09,77.29,0.0,124.0,186.0,241.0,417.0,417.0,1311,1.1
